* Measurement data measured by REW V5.20.13
* Source: ? 10dB Target Filtered
* Format: 
* Dated: Nov 1, 2023 10:11:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\Ralph Ivan Danque\Documents\Personal SquigLink\data\? 10dB Target.txt Format: Comma/Tab/Space delimited data 481 values loaded, 20 Hz to 20,040 Hz log spaced  LSQ      Fc   200.0 Hz  Gain   1.60 dB Q  0.710 PK       Fc    3000 Hz  Gain  -0.50 dB  Q  1.410 HSQ      Fc    6000 Hz  Gain   2.00 dB Q  0.707 HSQ      Fc   12000 Hz  Gain   2.00 dB Q  0.707
* Measurement: Cosmic Brownie Tilt Target
* Smoothing: 1/24 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
48.260181, 5.319
48.609894, 5.313
48.962143, 5.306
49.316940, 5.300
49.674313, 5.293
50.034271, 5.287
50.396843, 5.280
50.762039, 5.274
51.129883, 5.268
51.500389, 5.261
51.873581, 5.255
52.249481, 5.249
52.628101, 5.242
53.009464, 5.236
53.393593, 5.230
53.780506, 5.224
54.170223, 5.217
54.562763, 5.211
54.958145, 5.205
55.356396, 5.198
55.757530, 5.192
56.161572, 5.186
56.568542, 5.179
56.978462, 5.173
57.391350, 5.166
57.807232, 5.159
58.226128, 5.152
58.648056, 5.145
59.073048, 5.139
59.501114, 5.132
59.932281, 5.125
60.366577, 5.118
60.804020, 5.111
61.244629, 5.105
61.688435, 5.098
62.135452, 5.090
62.585712, 5.083
63.039234, 5.076
63.496040, 5.069
63.956161, 5.061
64.419617, 5.054
64.886421, 5.046
65.356621, 5.039
65.830215, 5.031
66.307251, 5.023
66.787743, 5.016
67.271713, 5.007
67.759193, 4.999
68.250206, 4.991
68.744774, 4.982
69.242928, 4.974
69.744690, 4.966
70.250084, 4.957
70.759148, 4.948
71.271896, 4.939
71.788361, 4.931
72.308571, 4.921
72.832550, 4.912
73.360321, 4.903
73.891922, 4.894
74.427376, 4.884
74.966705, 4.875
75.509949, 4.865
76.057121, 4.856
76.608261, 4.846
77.163399, 4.836
77.722557, 4.826
78.285767, 4.816
78.853058, 4.806
79.424461, 4.796
80.000000, 4.786
80.579712, 4.775
81.163628, 4.765
81.751770, 4.754
82.344177, 4.744
82.940880, 4.733
83.541901, 4.722
84.147285, 4.711
84.757050, 4.700
85.371231, 4.689
85.989868, 4.678
86.612984, 4.666
87.240616, 4.655
87.872803, 4.643
88.509560, 4.631
89.150940, 4.620
89.796967, 4.608
90.447670, 4.595
91.103088, 4.583
91.763260, 4.571
92.428215, 4.558
93.097992, 4.545
93.772614, 4.533
94.452133, 4.520
95.136566, 4.506
95.825966, 4.493
96.520363, 4.479
97.219788, 4.465
97.924286, 4.451
98.633881, 4.436
99.348625, 4.422
100.068542, 4.407
100.793686, 4.393
101.524078, 4.378
102.259766, 4.362
103.000778, 4.347
103.747162, 4.331
104.498962, 4.315
105.256203, 4.299
106.018929, 4.283
106.787186, 4.266
107.561012, 4.249
108.340446, 4.232
109.125526, 4.215
109.916290, 4.197
110.712791, 4.180
111.515060, 4.162
112.323143, 4.144
113.137085, 4.126
113.956924, 4.107
114.782700, 4.088
115.614464, 4.069
116.452255, 4.050
117.296112, 4.030
118.146095, 4.011
119.002228, 3.991
119.864563, 3.971
120.733154, 3.951
121.608040, 3.931
122.489258, 3.910
123.376869, 3.889
124.270905, 3.868
125.171425, 3.847
126.078468, 3.826
126.992081, 3.805
127.912323, 3.784
128.839233, 3.762
129.772842, 3.741
130.713242, 3.718
131.660431, 3.696
132.614502, 3.674
133.575485, 3.651
134.543427, 3.629
135.518387, 3.606
136.500412, 3.584
137.489548, 3.561
138.485855, 3.538
139.489380, 3.516
140.500168, 3.493
141.518295, 3.470
142.543793, 3.447
143.576721, 3.423
144.617142, 3.400
145.665100, 3.376
146.720642, 3.353
147.783844, 3.329
148.854752, 3.306
149.933411, 3.282
151.019897, 3.259
152.114243, 3.235
153.216522, 3.211
154.326797, 3.187
155.445114, 3.163
156.571533, 3.139
157.706116, 3.115
158.848923, 3.091
160.000000, 3.067
161.159424, 3.043
162.327255, 3.019
163.503540, 2.994
164.688354, 2.970
165.881760, 2.945
167.083801, 2.921
168.294571, 2.896
169.514099, 2.872
170.742462, 2.847
171.979736, 2.822
173.225967, 2.798
174.481232, 2.773
175.745605, 2.748
177.019119, 2.723
178.301880, 2.699
179.593933, 2.674
180.895340, 2.649
182.206177, 2.625
183.526520, 2.600
184.856430, 2.575
186.195984, 2.551
187.545227, 2.527
188.904266, 2.502
190.273132, 2.478
191.651932, 2.453
193.040726, 2.429
194.439575, 2.405
195.848572, 2.381
197.267761, 2.357
198.697250, 2.333
200.137085, 2.309
201.587372, 2.286
203.048157, 2.263
204.519531, 2.240
206.001556, 2.217
207.494324, 2.194
208.997925, 2.171
210.512405, 2.149
212.037857, 2.126
213.574371, 2.104
215.122025, 2.082
216.680893, 2.060
218.251053, 2.039
219.832581, 2.018
221.425583, 1.997
223.030121, 1.976
224.646286, 1.956
226.274170, 1.936
227.913849, 1.916
229.565399, 1.897
231.228928, 1.878
232.904510, 1.859
234.592224, 1.840
236.292191, 1.822
238.004456, 1.804
239.729126, 1.786
241.466309, 1.768
243.216080, 1.751
244.978516, 1.734
246.753738, 1.717
248.541809, 1.701
250.342850, 1.685
252.156937, 1.669
253.984161, 1.653
255.824646, 1.637
257.678467, 1.622
259.545685, 1.606
261.426483, 1.591
263.320862, 1.575
265.229004, 1.560
267.150970, 1.546
269.086853, 1.531
271.036774, 1.517
273.000824, 1.503
274.979095, 1.489
276.971710, 1.475
278.978760, 1.461
281.000336, 1.447
283.036591, 1.434
285.087585, 1.421
287.153442, 1.408
289.234283, 1.395
291.330200, 1.382
293.441284, 1.370
295.567688, 1.357
297.709503, 1.345
299.866821, 1.333
302.039795, 1.321
304.228485, 1.309
306.433044, 1.298
308.653595, 1.287
310.890228, 1.275
313.143066, 1.264
315.412231, 1.253
317.697845, 1.242
320.000000, 1.232
322.318848, 1.221
324.654510, 1.211
327.007080, 1.201
329.376709, 1.191
331.763519, 1.181
334.167603, 1.171
336.589142, 1.161
339.028198, 1.152
341.484924, 1.142
343.959473, 1.133
346.451935, 1.124
348.962463, 1.115
